# partial HR
0.000,72.365
0.000,27.934
0.000,27.934
0.000,99.116
0.000,99.116
0.000,74.399
0.000,74.399
0.000,117.744
0.000,113.095
0.000,113.095
0.000,90.809
0.000,90.809
0.000,121.690
0.000,34.534
0.000,127.799
0.000,127.799
0.000,120.932
0.000,127.091
0.000,86.606
0.000,86.606
0.000,110.398
0.000,110.398
0.000,115.675
0.000,129.813
0.000,129.813
0.000,133.009
0.000,133.009
0.000,111.266
0.000,111.266
0.000,89.935
0.000,87.713
0.000,87.713
0.000,105.480
0.000,85.857
0.000,112.074
0.000,112.074
0.000,62.087
0.000,118.019
0.000,118.019
0.000,122.229
0.000,123.563
0.000,123.563
0.000,79.310
0.000,79.310
0.000,119.800
0.000,119.800
0.000,126.765
0.000,120.216
0.000,104.838
0.000,146.345
0.000,146.345
0.000,103.517
0.000,125.151
0.000,125.151
0.000,75.520
0.000,16.098
0.000,16.098
0.000,21.210
0.000,120.671
0.000,120.671
0.000,128.948
0.000,99.739
0.000,143.034
0.000,143.034
0.000,131.150
0.000,131.150
0.000,118.440
0.000,118.440
0.000,105.796
0.000,67.255
0.000,153.742
0.000,153.742
0.000,18.850
0.000,18.850
0.000,91.477
0.000,121.077
0.000,141.068
0.000,141.068
0.000,145.333
0.000,67.784
0.000,67.784
0.000,119.414
0.000,119.414
0.000,123.555
0.000,123.555
0.000,79.271
0.000,122.803
0.000,122.803
0.000,104.492
0.000,132.576
0.000,109.505
0.000,109.505
0.000,140.971
0.000,140.971
0.000,52.618
0.000,63.528
0.000,66.120
0.000,66.120
0.000,125.557
0.000,125.557
0.000,149.151
0.000,149.151
0.000,109.946
0.000,109.946
0.000,88.347
0.000,138.742
0.000,33.906
0.000,33.906
0.000,56.474
0.000,121.046
0.000,21.305
0.000,132.128
0.000,132.128
0.000,121.728
0.000,89.081
0.000,89.081
0.000,121.194
0.000,121.194
0.000,127.918
0.000,126.516
0.000,78.748
0.000,78.748
0.000,75.948
0.000,125.590
0.000,147.677
0.000,147.677
0.000,44.055
0.000,102.612
0.000,122.566
0.000,122.566
0.000,36.339
0.000,130.673
0.000,118.620
0.000,118.620
0.000,125.897
0.000,125.897
0.000,144.994
0.000,48.723
0.000,48.723
0.000,53.910
0.000,135.661
0.000,135.661
0.000,72.787
0.000,72.787
0.000,149.999
0.000,149.999
0.000,111.195
0.000,142.289
0.000,142.289
0.000,36.425
0.000,36.425
0.000,116.390
0.000,129.597
0.000,155.254
0.000,155.254
0.000,110.921
0.000,112.920
0.000,112.920
0.000,84.955
0.000,65.092
0.000,90.483
0.000,90.483
0.000,98.158
0.000,98.158
0.000,39.474
0.000,163.126
0.000,163.126
0.000,76.049
0.000,33.062
0.000,33.062
0.000,168.014
0.000,127.438
0.000,127.438
0.000,122.832
0.000,130.498
0.000,93.017
0.000,93.017
0.000,116.599
0.000,120.347
0.000,120.347
0.000,154.829
0.000,9.863
0.000,125.306
0.000,125.306
0.000,135.099
0.000,155.579
0.000,28.490
0.000,28.490
0.000,105.533
0.000,64.791
0.000,64.791
0.000,86.700
0.000,171.390
0.000,83.761
0.000,83.761
0.000,136.522
0.000,136.522
0.000,62.249
0.000,62.249
0.000,104.437
0.000,96.021
0.000,139.076
0.000,139.076
0.000,98.132
0.000,140.876
0.000,140.876
0.000,111.492
0.000,131.356
0.000,131.356
0.000,113.547
0.000,132.801
0.000,132.801
0.000,82.752
0.000,82.752
0.000,92.185
0.000,112.687
0.000,99.317
0.000,84.297
0.000,132.165
0.000,132.165
0.000,84.177
0.000,84.177
0.000,99.312
0.000,71.560
0.000,122.269
0.000,122.269
0.000,81.396
0.000,81.396
0.000,97.794
0.000,48.353
0.000,48.353
0.000,147.767
0.000,146.628
0.000,146.628
0.000,103.810
0.000,144.238
0.000,144.238
0.000,93.192
0.000,61.325
0.000,61.325
0.000,120.404
0.000,120.404
0.000,86.532
0.000,101.656
0.000,101.656
0.000,48.738
0.000,135.214
0.000,90.479
0.000,90.479
0.000,133.951
0.000,133.951
0.000,84.326
0.000,84.326
0.000,122.496
0.000,59.174
0.000,86.460
0.000,104.380
0.000,96.391
0.000,99.991
0.000,99.991
0.000,120.423
0.000,120.423
0.000,109.432
0.000,109.432
0.000,106.869
0.000,106.869
0.000,121.336
0.000,120.056
0.000,120.056
0.000,112.461
0.000,133.779
0.000,133.779
0.000,65.005
0.000,65.005
0.000,90.032
0.000,41.892
0.000,79.374
0.000,79.374
0.000,116.767
0.000,58.394
0.000,121.005
0.000,121.005
0.000,156.138
0.000,156.138
0.000,51.184
0.000,90.245
0.000,90.245
0.000,99.845
0.000,131.187
0.000,131.187
0.000,102.494
0.000,144.686
0.000,144.297
0.000,144.297
0.000,87.871
